product_id,date,category,competitor_price,our_price,demand_index,stock_level,margin,optimal_price
0,2024-01-01,электроника,2244.85,2204.5,87,224,0.117,2182.68
0,2024-01-02,электроника,2464.89,2483.19,96,673,0.295,2241.22
0,2024-01-03,электроника,2283.04,2272.58,96,520,0.142,2207.69
0,2024-01-04,электроника,2267.14,2207.61,84,199,0.127,2178.26
0,2024-01-05,электроника,2186.52,2284.01,95,494,0.282,2236.19
0,2024-01-06,электроника,2413.55,2374.19,100,574,0.169,2222.42
0,2024-01-07,электроника,2478.42,2406.23,101,44,0.373,2269.09
0,2024-01-08,электроника,2443.55,2497.48,73,11,0.228,2176.15
0,2024-01-09,электроника,2438.07,2346.71,70,279,0.318,2189.4
0,2024-01-10,электроника,2279.21,2328.11,75,261,0.114,2155.61
0,2024-01-11,электроника,2264.43,2160.62,108,931,0.39,2288.05
0,2024-01-12,электроника,2289.04,2190.04,107,166,0.341,2275.18
0,2024-01-13,электроника,2239.92,2280.02,105,298,0.282,2257.94
0,2024-01-14,электроника,2376.08,2389.95,96,37,0.359,2255.13
0,2024-01-15,электроника,2066.07,2138.17,100,737,0.3,2250.94
0,2024-01-16,электроника,2140.59,2037.38,113,556,0.242,2266.66
0,2024-01-17,электроника,2179.51,2137.21,105,776,0.177,2235.0
0,2024-01-18,электроника,2264.6,2254.74,87,700,0.109,2180.93
0,2024-01-19,электроника,1901.95,1970.29,118,416,0.281,2286.25
0,2024-01-20,электроника,2025.1,1932.09,113,534,0.123,2240.74
0,2024-01-21,электроника,1907.82,1874.92,123,37,0.166,2271.87
0,2024-01-22,электроника,2013.51,2076.62,102,649,0.342,2264.59
0,2024-01-23,электроника,1934.29,1978.42,106,967,0.1,2220.43
0,2024-01-24,электроника,1927.89,1839.42,105,719,0.253,2251.7
0,2024-01-25,электроника,1822.92,1795.35,114,984,0.15,2248.91
0,2024-01-26,электроника,1908.5,1928.26,97,701,0.209,2224.57
0,2024-01-27,электроника,2020.99,1911.27,101,90,0.18,2226.96
0,2024-01-28,электроника,1948.51,1944.29,114,864,0.184,2256.15
0,2024-01-29,электроника,2075.52,2095.29,103,681,0.266,2250.09
0,2024-01-30,электроника,2012.29,1962.29,111,193,0.171,2246.9
0,2024-01-31,электроника,2097.81,2188.55,113,916,0.345,2289.22
0,2024-02-01,электроника,2383.01,2353.98,96,196,0.156,2210.77
0,2024-02-02,электроника,2285.21,2252.2,81,873,0.129,2172.07
0,2024-02-03,электроника,2321.38,2311.97,100,560,0.381,2268.7
0,2024-02-04,электроника,2305.41,2247.36,93,773,0.152,2203.46
0,2024-02-05,электроника,2435.46,2436.32,92,890,0.173,2205.66
0,2024-02-06,электроника,2421.68,2472.93,74,825,0.354,2205.97
0,2024-02-07,электроника,2258.49,2239.77,108,682,0.293,2266.86
0,2024-02-08,электроника,2427.5,2483.06,88,831,0.235,2210.46
0,2024-02-09,электроника,2260.31,2259.99,92,825,0.324,2238.74
0,2024-02-10,электроника,2479.96,2507.03,93,469,0.253,2225.35
0,2024-02-11,электроника,2555.11,2468.66,94,679,0.392,2257.97
0,2024-02-12,электроника,2409.9,2394.19,102,807,0.294,2253.95
0,2024-02-13,электроника,2333.1,2388.84,94,838,0.25,2226.9
0,2024-02-14,электроника,2392.57,2418.59,71,527,0.211,2168.18
0,2024-02-15,электроника,2158.86,2189.89,99,108,0.394,2269.37
0,2024-02-16,электроника,2116.23,2085.07,98,332,0.151,2214.03
0,2024-02-17,электроника,2007.65,2054.2,106,579,0.379,2281.37
0,2024-02-18,электроника,1931.56,2022.67,98,995,0.322,2251.48
0,2024-02-19,электроника,1910.79,1981.8,119,185,0.266,2285.05
0,2024-02-20,электроника,1923.29,1812.37,123,837,0.253,2291.07
0,2024-02-21,электроника,1820.68,1914.92,112,330,0.121,2238.16
0,2024-02-22,электроника,1907.34,1898.96,97,968,0.111,2203.09
0,2024-02-23,электроника,2186.67,2338.42,74,134,0.352,2205.47
0,2024-02-24,электроника,1932.48,1971.53,89,273,0.331,2233.73
0,2024-02-25,электроника,2042.72,2078.75,92,205,0.353,2245.01
0,2024-02-26,электроника,1982.1,1897.44,105,665,0.393,2282.19
0,2024-02-27,электроника,2103.12,1970.35,111,666,0.22,2257.47
0,2024-02-28,электроника,2270.61,2242.16,90,839,0.351,2240.24
0,2024-02-29,электроника,2076.8,2026.2,123,67,0.375,2317.55
0,2024-03-01,электроника,2016.19,1993.69,110,198,0.321,2277.52
0,2024-03-02,электроника,2294.02,2433.15,98,256,0.114,2206.04
0,2024-03-03,электроника,2144.99,2160.0,97,229,0.114,2203.74
0,2024-03-04,электроника,2224.8,2209.24,117,227,0.329,2294.49
0,2024-03-05,электроника,2287.82,2359.73,113,771,0.285,2276.07
0,2024-03-06,электроника,2320.23,2291.38,96,232,0.105,2199.55
0,2024-03-07,электроника,2393.48,2443.04,107,25,0.121,2227.21
0,2024-03-08,электроника,2448.0,2434.73,89,905,0.291,2224.97
0,2024-03-09,электроника,2469.2,2536.89,73,966,0.264,2184.05
0,2024-03-10,электроника,2415.6,2405.65,95,426,0.295,2239.07
0,2024-03-11,электроника,2301.59,2244.68,91,262,0.128,2193.81
0,2024-03-12,электроника,2209.35,2177.46,102,785,0.216,2236.92
0,2024-03-13,электроника,2190.96,2275.01,95,835,0.309,2242.04
0,2024-03-14,электроника,2086.76,2145.74,104,429,0.225,2243.43
0,2024-03-15,электроника,2236.41,2268.84,112,748,0.397,2298.45
0,2024-03-16,электроника,1980.6,1863.4,102,105,0.202,2234.0
0,2024-03-17,электроника,2309.68,2280.86,91,282,0.26,2222.65
0,2024-03-18,электроника,2125.13,1964.07,109,406,0.369,2285.67
0,2024-03-19,электроника,2092.4,2083.86,105,376,0.125,2223.67
0,2024-03-20,электроника,2088.06,2101.29,95,957,0.302,2240.45
0,2024-03-21,электроника,2080.38,2124.11,95,232,0.117,2200.02
0,2024-03-22,электроника,1976.62,1997.9,125,852,0.135,2269.6
0,2024-03-23,электроника,2013.21,1976.25,101,528,0.228,2237.41
0,2024-03-24,электроника,1994.71,1961.57,96,804,0.312,2244.85
